MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
3.541,-0.004,0.000,-0.023505,-0.001242,0.001347,0.043565,0.005,-0.227,-0.449,-0.023557,0.000835,0.014291,
-108.928,-0.047,-0.029,11.158608,-0.006158,0.002862,-0.023013,112.524,-0.245,-0.443,-11.202824,0.004646,0.021442,
0.000,-0.052,-0.027,-0.022632,-0.006946,0.002987,-0.024397,3.596,-0.289,-0.424,-0.022626,0.009143,0.020408,
0.000,0.014,0.470,-0.607998,-0.002937,-0.028002,0.029451,7.243,0.012,-0.229,-0.613052,0.020180,0.012841,
-0.002,-0.001,-0.002,132.980277,-91.193136,43.912808,-0.001728,462.004,98.478,110.760,133.261842,88.734499,-48.017876,
0.000,0.000,0.000,88.113384,-1.443236,1.794822,0.000000,247.223,127.855,108.741,87.989969,-1.368305,1.839198,
0.000,0.423,-29.801,-0.464486,179.930807,-0.057005,0.029469,225.334,0.525,-1.013,2.236488,0.009445,0.082038,
0.000,-0.440,-0.474,0.409356,-0.000722,0.066916,0.083849,10.452,-0.213,0.675,0.412260,0.049266,-0.002169,
0.000,-23.859,-110.183,42.014362,0.146138,0.104946,-1.266025,248.186,85.123,20.355,53.499827,0.184129,0.007271,
0.000,0.000,0.000,-1.970707,-0.007173,0.001275,0.000000,247.223,127.854,108.741,-1.970707,0.001185,0.007227,
0.000,-0.440,-0.474,0.409356,-0.000722,0.066916,0.083849,10.452,-0.213,0.675,0.412260,0.049266,-0.002169,
0.000,-23.859,-110.183,42.014362,0.146138,0.104946,-1.266025,248.186,85.123,20.355,53.499827,0.184129,0.007271,
0.000,0.014,0.470,-0.607998,-0.002937,-0.028002,0.029451,7.243,0.012,-0.229,-0.613052,0.020180,0.012841,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,0.000,0.000,-6.970707,-0.006971,0.002092,0.000000,247.223,127.854,108.741,-6.970706,-0.000275,0.007462,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
238.274,-0.176,0.252,-1.028586,-0.111672,0.013652,0.007866,-231.191,0.640,-0.511,-0.103003,-0.014782,-0.095272,
0.000,-0.100,0.010,-0.006297,0.000872,0.004543,0.007774,3.766,-0.323,-0.046,-0.006293,-0.003292,0.020110,
0.000,-0.100,0.010,-0.006297,0.000872,0.004543,0.007774,3.766,-0.323,-0.046,-0.006293,-0.003292,0.020110,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,8.832,19.187,6.253924,-0.016004,-0.011708,0.340929,145.300,4.654,-25.399,7.883163,0.007002,0.004379,
0.000,30.121,16.612,2.264551,-0.017173,-0.014949,0.331175,145.314,0.047,-0.270,-3.491569,0.007254,-0.001702,
0.000,30.473,15.887,1.007091,-0.002904,-0.003273,0.211984,145.393,0.099,-0.271,-2.238049,0.014410,0.017404,
0.000,30.473,15.887,1.007091,-0.002904,-0.003273,0.211984,145.393,0.099,-0.271,-2.238049,0.014410,0.017404,
0.000,-0.001,0.436,-0.611663,-0.014587,-0.015700,0.034229,7.080,0.048,-0.255,-0.616358,0.006265,0.000613,
0.000,30.121,16.612,2.264551,-0.017173,-0.014949,0.331175,145.314,0.047,-0.270,-3.491569,0.007254,-0.001702,
0.000,-0.001,0.413,-0.611896,-0.005853,-0.026726,0.007522,7.239,0.053,-0.232,-0.613026,0.018530,0.013540,
0.000,-0.129,0.362,-0.616084,-0.015112,0.019692,-0.002020,16.203,0.115,-0.263,-0.617627,-0.001815,-0.001365,
0.000,-0.162,0.371,-0.620086,-0.007735,0.042770,-0.016259,16.220,0.118,-0.309,-0.621578,-0.025285,-0.007182,
0.000,-0.148,0.414,-0.615637,0.002934,0.029717,-0.026633,16.394,0.088,-0.297,-0.617204,-0.017129,0.003180,
0.000,-0.129,0.362,-0.616084,-0.015112,0.019692,-0.002020,16.203,0.115,-0.263,-0.617627,-0.001815,-0.001365,
0.000,-0.162,0.371,-0.620086,-0.007735,0.042770,-0.016259,16.220,0.118,-0.309,-0.621578,-0.025285,-0.007182,
0.000,-0.129,0.362,-0.616084,-0.015112,0.019692,-0.002020,16.203,0.115,-0.263,-0.617627,-0.001815,-0.001365,
0.000,-0.100,0.010,-0.006297,0.000872,0.004543,0.007774,3.766,-0.323,-0.046,-0.006293,-0.003292,0.020110,
0.000,0.000,0.000,-0.004297,-0.001115,0.012920,0.000000,3.767,-0.444,-0.034,-0.004298,-0.001117,0.012920,
0.000,-0.100,0.010,-0.006297,0.000872,0.004543,0.007774,3.766,-0.323,-0.046,-0.006293,-0.003292,0.020110,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.767,-0.444,-0.034,-0.008595,-0.002233,0.025840,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.767,-0.444,-0.034,-0.008595,-0.002233,0.025840,
0.000,-0.100,0.010,-0.006297,0.000872,0.004543,0.007774,3.766,-0.323,-0.046,-0.006293,-0.003292,0.020110,
0.000,-0.100,0.010,-0.006297,0.000872,0.004543,0.007774,3.766,-0.323,-0.046,-0.006293,-0.003292,0.020110,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.767,-0.443,-0.034,-0.008321,-0.002227,0.025731,
0.000,-0.100,0.010,-0.006263,0.000818,0.004480,0.007732,3.766,-0.323,-0.046,-0.006260,-0.003255,0.020089,
0.000,-0.100,0.010,-0.006263,0.000818,0.004480,0.007732,3.766,-0.323,-0.046,-0.006260,-0.003255,0.020089,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,NaN,NaN,NaN,0.000000,0.000000,0.000000,
0.000,-0.100,0.010,-0.006263,0.000818,0.004480,0.007732,3.766,-0.323,-0.046,-0.006260,-0.003255,0.020089,
0.000,0.000,0.000,-0.004161,-0.001112,0.012866,0.000000,3.767,-0.443,-0.034,-0.004161,-0.001113,0.012865,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,3.767,-0.443,-0.034,-0.008321,-0.002227,0.025731,
0.000,-0.234,-2.919,-43.172219,1.137198,0.806986,0.046334,537.696,2.797,29.706,-43.497218,-1.143973,2.738907,
0.000,0.000,0.000,-11.244316,-0.072009,-0.016634,0.000000,537.848,1.074,30.209,-11.244243,-0.081454,-0.013077,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793230,-0.008030,0.034443,0.000711,537.844,1.102,30.167,-9.792206,-0.155433,-0.037836,
0.000,-0.037,0.037,-9.792249,-0.031185,0.052109,-0.004669,537.850,1.100,30.167,-9.792024,-0.156050,-0.011648,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.037,0.038,-9.793706,-0.020451,0.041903,-0.000882,537.846,1.101,30.168,-9.792239,-0.133986,-0.028791,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793777,-0.009192,0.033699,-0.005625,537.848,1.102,30.167,-9.791421,-0.150972,-0.038679,
0.000,-0.036,0.039,-9.794145,-0.007344,0.027789,-0.001585,537.845,1.102,30.167,-9.790819,-0.150115,-0.038345,
0.000,-0.035,0.040,-9.794517,0.012633,0.023691,-0.013259,537.852,1.103,30.167,-9.790522,-0.145632,-0.063638,
0.000,-0.035,0.042,-9.793460,0.045080,0.027096,-0.027986,537.862,1.104,30.167,-9.790740,-0.145501,-0.088369,
